競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,CT値,スコア,選手数,3着以内_大穴,3着以内_補欠_大穴
名古屋競輪,1R,08:30,2日目,Ａ,"=""2-7""","=""2-7-5""",4,"=""4-5-1""",7,0.48,0.36,0.18,0.05,0.89,63.08,7,"=""5-4-1""",2
福井競輪,3R,09:20,初日,チ,"=""1-4""","=""1-4-3""",6,"=""3-5-2""",4,0.44,0.19,0.06,0.05,0.89,62.5,7,"=""3-5-4""",2
高知競輪,2R,11:14,2日目,Ａ,"=""3-7""","=""3-7-5""",4,"=""5-1-4""",3,0.28,0.22,0.05,0.03,0.89,53.33,7,"=""4-3-1""",5
高知競輪,3R,11:43,2日目,Ａ,"=""1-7""","=""1-7-2""",5,"=""5-2-3""",7,0.36,0.19,0.17,0.04,0.89,56.86,7,"=""2-5-7""",3
松戸競輪,12R,20:30,2日目,Ｓ,"=""7-9""","=""7-9-3""",2,"=""9-1-3""",7,0.38,0.22,0.08,0.03,0.91,61.22,9,"=""3-9-7""",1
前橋競輪,2R,21:21,初日,チ,"=""1-2""","=""1-2-4""",3,"=""3-2-5""",4,0.45,0.2,0.04,0.04,0.92,64.57,7,"=""3-5-4""",2
青森競輪,3R,21:29,初日,Ａ,"=""2-1""","=""2-1-3""",7,"=""3-5-4""",2,0.46,0.25,0.12,0.03,0.93,64.39,7,"=""3-5-4""",2
前橋競輪,3R,21:45,初日,チ,"=""1-2""","=""1-2-4""",6,"=""4-2-5""",3,0.38,0.22,0.12,0.04,0.9,59.1,7,"=""2-4-3""",5
小松島競輪,6R,22:54,初日,チ,"=""2-1""","=""2-1-3""",4,"=""4-3-1""",7,0.37,0.19,0.07,0.04,0.9,59.27,7,"=""4-3-1""",7
前橋競輪,6R,23:03,初日,チ,"=""2-1""","=""2-1-4""",3,"=""3-4-5""",6,0.49,0.47,0.11,0.03,0.94,64.8,7,"=""3-4-5""",6
